"File","Lines"
"D:\kwavers\ritk\crates\ritk-model\src\transmorph\swin.rs","513"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\cross_scan.rs","504"
"D:\kwavers\ritk\crates\ritk-registration\src\optimizer\cma_es\mod.rs","488"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\encoder.rs","417"
"D:\kwavers\ritk\crates\ritk-model\src\transmorph\mod.rs","411"
"D:\kwavers\ritk\crates\ritk-registration\src\registration.rs","398"
"D:\kwavers\ritk\crates\ritk-io\src\format\nifti\mod.rs","395"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\state_space.rs","392"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\network\architecture.rs","382"
"D:\kwavers\ritk\xtask\src\datasets.rs","371"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\network\sampling.rs","364"
"D:\kwavers\ritk\crates\ritk-registration\src\validation.rs","362"
"D:\kwavers\ritk\crates\ritk-core\src\transform\displacement_field.rs","359"
"D:\kwavers\ritk\crates\ritk-core\src\transform\static_displacement_field.rs","357"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\vmamba_block.rs","356"
"D:\kwavers\ritk\crates\ritk-core\src\transform\bspline\mod.rs","348"
"D:\kwavers\ritk\crates\ritk-core\src\transform\rigid.rs","343"
"D:\kwavers\ritk\crates\ritk-io\src\format\dicom\mod.rs","340"
"D:\kwavers\ritk\xtask\src\main.rs","333"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\decoder.rs","328"
"D:\kwavers\ritk\crates\ritk-core\src\filter\resample.rs","319"
"D:\kwavers\ritk\crates\ritk-registration\src\metric\histogram.rs","294"
"D:\kwavers\ritk\crates\ritk-registration\src\metric\mutual_information.rs","294"
"D:\kwavers\ritk\crates\ritk-registration\src\metric\correlation_ratio.rs","290"
"D:\kwavers\ritk\crates\ritk-model\src\ssmmorph\integration.rs","287"
"D:\kwavers\ritk\crates\ritk-core\src\spatial\direction.rs","282"
"D:\kwavers\ritk\crates\ritk-core\src\interpolation\bspline.rs","280"
"D:\kwavers\ritk\crates\ritk-core\src\interpolation\nearest.rs","279"
"D:\kwavers\ritk\crates\ritk-core\src\interpolation\linear\mod.rs","277"
"D:\kwavers\ritk\crates\ritk-core\src\image\transform.rs","277"
"D:\kwavers\ritk\crates\ritk-registration\src\metric\ncc.rs","264"
"D:\kwavers\ritk\crates\ritk-core\src\spatial\vector.rs","259"
"D:\kwavers\ritk\crates\ritk-model\src\losses.rs","254"
